Código ;Nombre;Código ;Nombre;Código ;Nombre;"Tipo";Longitud;Latitud;altitude
05;ANTIOQUIA;05147;CAREPA;05147012;SACRAMENTO LA LUCHA;CP;-76.661045;7.789598;3087.3017578125
05;ANTIOQUIA;05147;CAREPA;05147013;LOS NARANJALES;CP;-76.71321;7.819464;3066
05;ANTIOQUIA;05147;CAREPA;05147014;VIJAGUAL;CP;-76.70453;7.814059;3067.142822265625
05;ANTIOQUIA;05147;CAREPA;05147015;NUEVA ESPERANZA ;CP;-76.756001;7.845022;3060.814453125
05;ANTIOQUIA;05148;EL CARMEN DE VIBORAL;05148000;EL CARMEN DE VIBORAL;CM;-75.334146;6.083185;3126.24560546875
05;ANTIOQUIA;05148;EL CARMEN DE VIBORAL;05148003;AGUAS CLARAS;CP;-75.377162;6.073016;3122.360595703125
05;ANTIOQUIA;05148;EL CARMEN DE VIBORAL;05148005;LA CHAPA;CP;-75.31689;6.052812;3125.058349609375
05;ANTIOQUIA;05148;EL CARMEN DE VIBORAL;05148006;CAMPO ALEGRE;CP;-75.325396;6.06072;3125.640380859375
05;ANTIOQUIA;05148;EL CARMEN DE VIBORAL;05148008;LA AURORA - LAS BRISAS;CP;-75.326894;6.084376;3126.972412109375
05;ANTIOQUIA;05150;CAROLINA;05150000;CAROLINA DEL PRÍNCIPE;CM;-75.283192;6.725995;3168.85888671875
05;ANTIOQUIA;05154;CAUCASIA;05154000;CAUCASIA;CM;-75.197996;7.977278;3217.486572265625
05;ANTIOQUIA;05154;CAUCASIA;05154003;CUTURÚ;CP;-74.787575;7.72667;3208.752197265625
05;ANTIOQUIA;05154;CAUCASIA;05154006;MARGENTO;CP;-74.953468;8.03608;3228.162109375
05;ANTIOQUIA;05154;CAUCASIA;05154007;PUERTO COLOMBIA;CP;-75.013827;7.578983;3208.85009765625
05;ANTIOQUIA;05154;CAUCASIA;05154008;PALANCA;CP;-75.021453;8.009143;3229
05;ANTIOQUIA;05154;CAUCASIA;05154009;PALOMAR;CP;-74.976327;8.002719;3228.11376953125
05;ANTIOQUIA;05154;CAUCASIA;05154012;SANTA ROSITA;CP;-75.325244;7.921641;3207
05;ANTIOQUIA;05154;CAUCASIA;05154020;PUERTO TRIANA;CP;-74.892996;7.683751;3208.045166015625
05;ANTIOQUIA;05154;CAUCASIA;05154022;LA ILUSIÓN;CP;-75.090083;8.023245;3232.978515625
05;ANTIOQUIA;05154;CAUCASIA;05154023;CACERÍ;CP;-74.928558;7.802364;3214.269775390625
05;ANTIOQUIA;05154;CAUCASIA;05154024;EL PANDO;CP;-75.069703;7.793437;3222.4111328125
05;ANTIOQUIA;05154;CAUCASIA;05154026;EL CHINO;CP;-75.094244;8.009797;3232.77490234375
05;ANTIOQUIA;05154;CAUCASIA;05154027;LA ESMERALDA;CP;-75.137597;8.011503;3226.45751953125
05;ANTIOQUIA;05154;CAUCASIA;05154031;VILLA DEL SOCORRO;CP;-75.007208;8.0483;3229
05;ANTIOQUIA;05154;CAUCASIA;05154032;CASERÍO CONJUNTO CAÑA FISTULA;CP;-75.164822;7.949827;3220.08251953125
05;ANTIOQUIA;05154;CAUCASIA;05154033;PUEBLO NUEVO;CP;-74.959999;8.040026;3228.79736328125
05;ANTIOQUIA;05172;CHIGORODÓ;05172000;CHIGORODÓ;CM;-76.681276;7.666199;3070.081298828125
05;ANTIOQUIA;05172;CHIGORODÓ;05172003;BARRANQUILLITA;CP;-76.69685;7.57085;3064.26123046875
05;ANTIOQUIA;05172;CHIGORODÓ;05172007;GUAPÁ CARRETERAS;CP;-76.611452;7.557564;3069.2939453125
05;ANTIOQUIA;05172;CHIGORODÓ;05172013;JURADÓ;CP;-76.580047;7.500443;3068.322265625
05;ANTIOQUIA;05172;CHIGORODÓ;05172014;CAMPITAS;CP;-76.694898;7.644593;3067.7578125
05;ANTIOQUIA;05172;CHIGORODÓ;05172015;CHAMPITA SECTOR LA GRANJA;CP;-76.684714;7.649236;3069.529296875
